id,room_name,topic,created_at,status
15db5f02-3b43-4920-a07c-8806f92f6644,Sala_3,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 02:30:41.207040+00:00,closed
9a16c2d3-3233-4f90-9e22-91cd1efdf4b2,Sala_1,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 02:30:39.745814+00:00,closed
23ebb10a-33a4-4b89-81b4-3562e33c4997,Sala_1,Discusión sobre cómo la bicicleta puede ayudar a reducir emisiones de carbono.,2025-11-17 01:27:44.815651+00:00,closed
dc441cdc-5899-4e51-8888-6c2b89a24325,Sala_1,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 01:52:15.758168+00:00,closed
2aa81d46-357c-43a6-b92b-7afd3dd72139,Sala_1,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 02:19:49.339899+00:00,closed
2b75a9aa-5aee-45d3-9b56-ed4edf003659,Sala_1,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 02:22:21.549346+00:00,closed
d4e5aa0a-da5e-4279-8f23-7c48e2bebf04,Sala_1,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 03:01:12.896049+00:00,closed
1e08a8ac-9938-4082-8f84-6fc105a92979,Sala_1,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 03:02:02.782972+00:00,closed
d73fc141-70ba-47e3-9be1-54aade0c0f1e,Sala_1,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 03:07:53.141632+00:00,closed
d247a610-95d2-40ff-b292-26660fb8d9ce,Sala_1,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 03:28:35.148351+00:00,closed
3117503f-d1b3-4a8c-9ae3-79dfb56d56a9,Sala_2,"“¿Debe el aborto estar garantizado como un derecho dentro del sistema de salud pública?”\n\nDescripción:\nEl debate se centrará en analizar el aborto desde diferentes perspectivas: ética, social, legal, médica y de derechos humanos. Los estudiantes deberán considerar los argumentos a favor y en contra, evaluando el impacto que tendría reconocer o limitar este derecho en la sociedad, la salud pública, la autonomía personal, la equidad de género y las políticas gubernamentales.",2025-11-17 03:29:01.165030+00:00,closed
